block,WH_LAT,WH_LONG,gas_labels
13/23,58.17926198,-1.460759073,3
14/20b,58.36753631,-0.081898178,1
14/26a,58.03685295,-0.912446013,2
14/26b,58.06368812,-0.820298306,2
14/29,58.000607495,-0.292205909,0
14/29a,58.00191645,-0.38131931,0
15/16,58.37220532,0.096828581,1
15/17b,58.39024638,0.369463377,3
15/18a,58.41983247,0.487226467,2
15/21,58.18108723,0.097920606,0
15/21a,58.29780921,0.13788738,1
15/21b,58.31440191,0.034171521,1
15/22,58.26389748,0.228420279,1
15/24b,58.3126221,0.730806595,0
15/27,58.049202,0.329932535,3
15/28b,58.06969864,0.450990457,2
20/02,57.89987332,-0.638891858,1
20/04,57.98909662,-0.36713312,2
20/08,57.76242916,-0.442672387,1
21/02,57.92004924,0.261416993,3
21/12,57.5123728,0.337646276,1
21/12a,57.50612421,0.315859854,3
21/15a,57.65893223,0.891797498,3
21/18,57.474287145000005,0.4772945715,1
21/19,57.41773249,0.774752599,1
21/20a,57.3634482,0.820326974,3
21/20b,57.40204336,0.878134276,3
21/23b,57.28470739,0.488852696,2
21/24,57.17328913,0.769050787,0
21/24a,57.24050124,0.613527779,3
21/25,57.189706895,0.923009281,0
21/25a,57.29611646,0.835185527,3
21/25b,57.17881967,0.921859079,2
21/29a,57.16543346,0.74319988,0
21/30,57.09619904,0.89220075,2
21/30b,57.15937434,0.974085894,2
21/30d,57.08733084,0.96064569,2
21/30f,57.03948434,0.950628519,2
22/06a,57.68367069,1.163488772,1
22/07,57.67796591,1.202388573,1
22/11,57.63306912,1.147866818,3
22/11a,57.66234904,1.143961107,2
22/12a,57.66407187,1.272209172,2
22/12c,57.63543537,1.3341911,2
22/13a,57.63308316,1.400013443,3
22/14b,57.54771627,1.705897895,1
22/21,57.18434274,0.998450677,0
22/22b,57.208833,1.2489533,3
22/24,57.23372822,1.638799935,1
22/24a,57.2952,1.66264,0
22/24b,57.23398809,1.623979543,2
22/24d,57.1714364,1.750005887,0
22/26a,57.15425304,1.036933962,0
22/29,57.05815978,1.703286455,3
22/29c,57.15330173,1.644647953,3
22/30a,57.14340518,1.868755691,0
22/30b,57.03158618,1.95377837,0
23/16b,57.44664309,2.139457174,2
23/22a,57.16859029,2.258521036,3
23/27,57.14208145,2.281186313,1
23/27a,57.14233336,2.275744803,0
29/03a,56.94917986,1.423366716,0
29/03c,56.85507981,1.564099249,2
29/05,56.84643234,1.822436432,0
29/05b,56.96595376,1.864935555,3
29/07,56.72387359,1.3399614765,1
29/07a,56.73554371,1.387798795,0
29/08a,56.80622461,1.450215578,1
29/09a,56.83031229,1.720506426,0
29/09b,56.71161649,1.693738516,3
29/10,56.76155656,1.908790627,2
30/06,56.80848482,2.07454697,0
30/07a,56.73151615,2.324318126,0
30/14,56.55966199,2.633933019,3
30/16,56.48463216,2.14465574,3
30/17a,56.39032016,2.256412924,1
30/19a,56.39255147,2.778017655,1
